




[-179.67501265],[-25.52285474],[19.92979167]
[-179.23485145],[-23.96076923],[19.9517873]
[178.20815233],[-22.68077713],[20.61756612]
[179.64070026],[-22.65953282],[20.68504874]
[177.89483975],[-23.7584884],[20.33519243]
[175.82337894],[-27.31159398],[21.46135768]
[175.78739517],[-24.70268432],[20.95392022]
[178.67196679],[-25.65460374],[20.34464291]
[-179.03738796],[-27.54532676],[20.32519294]
[-177.91278025],[-25.89498879],[19.04862035]
[-176.98027393],[-26.17405888],[18.77949377]
[178.0952882],[-26.30649069],[19.75229589]
[178.93896463],[-23.75838977],[20.29368575]
[177.7783628],[-27.75306356],[20.28880901]
[176.80731912],[-27.85513134],[20.3673663]
