[175.51205355],[-23.18889394],[-3.85637768]
[174.35810223],[-20.02385542],[-4.36816429]
[173.9282026],[-22.62826122],[-3.45169082]
[174.8727826],[-23.70607227],[-3.93144509]
[174.09552922],[-23.11088415],[-4.08954683]
[174.26388705],[-22.41993854],[-4.03557348]
[174.42639023],[-21.57364085],[-4.30428307]
[175.07786771],[-23.40370327],[-4.02843221]
[174.20112171],[-20.92804717],[-3.83102007]
[174.34863861],[-23.03953576],[-3.5249569]
[173.46315729],[-24.24618471],[-3.63738157]
[174.37805531],[-24.26808827],[-3.31006181]
[174.05273241],[-24.13551947],[-3.36580355]
[174.55719638],[-25.60847169],[-3.91151367]
[175.29265479],[-24.1651297],[-3.6791955]
[174.97592193],[-24.99023079],[-4.00485339]
[174.69883078],[-23.39760165],[-3.89158438]
[175.10326744],[-26.49663429],[-3.84496026]
[176.32854338],[-25.28328768],[-3.82099251]
[173.98169436],[-22.30188578],[-4.05880907]
[175.07035249],[-22.32815671],[-4.57433158]
[174.668654],[-22.50655393],[-4.08421223]
[175.97215274],[-23.4772224],[-3.95677412]
[176.34245321],[-23.73637227],[-4.29850038]
[177.40997433],[-40.53577824],[174.23817542]
[176.142105],[-25.46426816],[-4.0027665]
[176.86018615],[-26.35019228],[-4.21191978]
[176.83921672],[-28.20636981],[-4.15344986]
[176.51170603],[-27.43128409],[-4.17105871]
[175.93910855],[-26.06403753],[-4.40323263]
[176.16795829],[-25.80604147],[-4.17346551]
[176.26578916],[-25.98784652],[-4.65329327]
[175.02213015],[-26.35227498],[-4.01996624]
[175.48514988],[-27.25513286],[-4.48217642]
[174.59539959],[-25.44815494],[-4.22669108]
[174.98466921],[-26.26163114],[-4.34449826]
[177.75378477],[-42.23280586],[174.08395927]
[175.84881827],[-26.23264504],[-4.11036557]
[175.10772653],[-25.02157404],[-4.61787414]
[173.75244226],[-25.77244991],[-3.99417995]
[175.10867786],[-27.28505597],[-4.36829379]
[173.68672748],[-26.0337943],[-4.41534387]
[175.3141374],[-24.69110147],[-4.87552246]
[175.47977957],[-25.51633764],[-5.06965894]
[174.26289014],[-24.32516038],[-4.46999184]
[174.72492511],[-25.77094035],[-4.52665949]
[174.5015448],[-23.88346086],[-4.88895325]
[175.22180969],[-23.44164008],[-5.04294493]
[175.47755855],[-25.47614296],[-5.06784462]
[174.87641608],[-24.03535715],[-5.24726055]
[174.84548242],[-25.81884389],[-4.95941828]
[174.36205709],[-24.87638792],[-5.18211809]
[175.44608233],[-25.57085523],[-5.4007173]
[175.56912852],[-25.63124743],[-5.08468291]
[174.96901843],[-25.65856617],[-4.62240572]
[174.82181988],[-26.63644853],[-4.8319386]
[174.70516003],[-27.0188861],[-4.6080085]
[174.13015295],[-27.01034435],[-4.47083853]
[175.79738873],[-28.51547575],[-4.86761386]
[174.26887082],[-27.66738696],[-4.37503566]
[175.12226173],[-26.67550332],[-4.86684877]
[178.04052951],[-43.12863403],[173.81755376]
[176.12881137],[-26.9074101],[-5.05899966]
[175.69982492],[-26.41211531],[-5.12691542]
[175.69982492],[-26.41211531],[-5.12691542]
[175.57174546],[-26.70690933],[-4.89416317]
[175.10052289],[-26.44565065],[-4.93893923]
[175.21918177],[-26.04463883],[-5.16256436]
[175.46008333],[-26.62890332],[-5.0292799]
